,name,count,pos,norm
150,without fully,1,,0.0
151,fully trained,1,,0.0
152,trained employees,1,,0.0
153,employees train,1,,0.0
154,train new,1,,0.0
156,hires increase,1,,0.0
157,increase payfood,1,,0.0
158,payfood running,1,,0.0
95,positions customers,1,,0.0
93,know time,1,,0.0
366,teamwork managers,1,,0.0
34,enough staff,1,,0.0
25,hours way,1,,0.0
26,way much,1,,0.0
27,much work,1,,0.0
28,work payno,1,,0.0
29,payno tips,1,,0.0
30,tips hostesslong,1,,0.0
31,hostesslong hours,1,,0.0
33,sometimes enough,1,,0.0
35,staff causes,1,,0.0
23,get 40,1,,0.0
36,causes stress,1,,0.0
37,stress employees,1,,0.0
38,employees hours,1,,0.0
40,get stuck,1,,0.0
41,stuck crappy,1,,0.0
42,crappy shiftsome,1,,0.0
43,shiftsome guests,1,,0.0
44,guests low,1,,0.0
24,40 hours,1,,0.0
21,low hard,1,,0.0
91,nosing management,1,,0.0
10,page managers,1,,0.0
2,shared amongst,1,,0.0
3,amongst managers,1,,0.0
4,managers staff,1,,0.0
5,staff sometimes,1,,0.0
6,sometimes harsh,1,,0.0
7,harsh attitudescorporate,1,,0.0
8,attitudescorporate management,1,,0.0
9,management page,1,,0.0
11,managers condescending,1,,0.0
20,jobs low,1,,0.0
12,condescending inapropriate,1,,0.0
13,inapropriate refuse,1,,0.0
14,refuse give,1,,0.0
15,give consistent,1,,0.0
16,consistent schedule,1,,0.0
17,schedule hourly,1,,0.0
18,hourly rate,1,,0.0
19,rate jobs,1,,0.0
45,low tippersdisorganized,1,,0.0
46,tippersdisorganized times,1,,0.0
47,times training,1,,0.0
80,unpredictable schedule,1,,0.0
71,fights management,1,,0.0
72,management back,1,,0.0
73,back house,1,,0.0
74,house serverstypical,1,,0.0
75,serverstypical restaurant,1,,0.0
76,restaurant downfalls,1,,0.0
77,downfalls inconsistent,1,,0.0
78,inconsistent pay,1,,0.0
81,schedule uneven,1,,0.0
49,done correctly,1,,0.0
82,uneven work,1,,0.0
83,work load,1,,0.0
84,load micromanagement,1,,0.0
85,micromanagement hard,1,,0.0
87,work get,1,,0.0
88,get rewarded,1,,0.0
89,rewarded brown,1,,0.0
90,brown nosing,1,,0.0
70,lots fights,1,,0.0
69,unfair lots,1,,0.0
68,favorites unfair,1,,0.0
67,definitely favorites,1,,0.0
50,correctly frustrating,1,,0.0
51,frustrating trying,1,,0.0
52,trying lower,1,,0.0
53,lower costs,1,,0.0
54,costs much,1,,0.0
55,much possible,1,,0.0
56,possible run,1,,0.0
57,run supplies,1,,0.0
58,supplies need,1,,0.0
59,need timeno,1,,0.0
60,timeno teamwork,1,,0.0
61,teamwork management,1,,0.0
62,management unorganized,1,,0.0
63,unorganized managers,1,,0.0
64,managers got,1,,0.0
65,got personal,1,,0.0
66,personal definitely,1,,0.0
181,hours work,1,,0.0
183,life balancemoney,1,,0.0
184,balancemoney lack,1,,0.0
308,coworkers often,1,,0.0
300,location apart,1,,0.0
301,apart outdoor,1,,0.0
302,outdoor mall,1,,0.0
303,mall bad,1,,0.0
304,bad management,1,,0.0
305,management awful,1,,0.0
306,awful scheduling,1,,0.0
307,scheduling coworkers,1,,0.0
309,often scheduled,1,,0.0
298,due particular,1,,0.0
310,scheduled double,1,,0.0
311,double shifts,1,,0.0
312,shifts without,1,,0.0
313,without break,1,,0.0
314,break time,1,,0.0
315,time constant,1,,0.0
316,constant turnover,1,,0.0
317,turnover people,1,,0.0
299,particular location,1,,0.0
297,tippers due,1,,0.0
185,lack silverware,1,,0.0
286,thing management,1,,0.0
277,person annoying,1,,0.0
278,annoying times,1,,0.0
280,know scheduling,1,,0.0
281,scheduling horrible,1,,0.0
282,horrible labor,1,,0.0
283,labor hours,1,,0.0
284,hours huge,1,,0.0
285,huge thing,1,,0.0
287,management puts,1,,0.0
296,bad tippers,1,,0.0
288,puts work,1,,0.0
289,work every,1,,0.0
290,every one,1,,0.0
291,one else,1,,0.0
292,else hostile,1,,0.0
293,hostile work,1,,0.0
294,work environment,1,,0.0
295,environment bad,1,,0.0
318,people would,1,,0.0
319,would put,1,,0.0
320,put two,1,,0.0
356,schedule set,1,,0.0
348,goes everywhere,1,,0.0
349,everywhere supposegrueling,1,,0.0
350,supposegrueling work,1,,0.0
351,work schedule,1,,0.0
352,schedule respectedno,1,,0.0
353,respectedno life,1,,0.0
354,life server,1,,0.0
355,server schedule,1,,0.0
357,set hours,1,,0.0
323,working week,1,,0.0
358,hours guarantee,1,,0.0
359,guarantee check,1,,0.0
360,check every,1,,0.0
361,every two,1,,0.0
362,working tips,1,,0.0
363,tips hard,1,,0.0
364,hard leave,1,,0.0
365,leave teamwork,1,,0.0
347,sometimes goes,1,,0.0
346,rude sometimes,1,,0.0
345,quite rude,1,,0.0
344,customers quite,1,,0.0
324,week due,1,,0.0
325,due lack,1,,0.0
326,lack money,1,,0.0
327,money made,1,,0.0
328,made heavy,1,,0.0
329,heavy focas,1,,0.0
330,focas pitching,1,,0.0
331,pitching food,1,,0.0
334,corporate interference,1,,0.0
335,interference secret,1,,0.0
337,shoppers sent,1,,0.0
338,sent regularly,1,,0.0
339,regularly slow,1,,0.0
340,slow times,1,,0.0
341,times low,1,,0.0
342,low tipsthe,1,,0.0
343,tipsthe customers,1,,0.0
276,last person,1,,0.0
275,responsibilities last,1,,0.0
274,left responsibilities,1,,0.0
215,nothing management,1,,0.0
207,get hours,1,,0.0
208,hours desire,1,,0.0
209,desire every,1,,0.0
210,every manager,1,,0.0
211,manager tell,1,,0.0
212,tell something,1,,0.0
213,something different,1,,0.0
214,different nothing,1,,0.0
217,team immature,1,,0.0
228,though can,1,,0.0
218,immature management,1,,0.0
219,management listen,1,,0.0
220,listen need,1,,0.0
221,need change,1,,0.0
222,change availability,1,,0.0
223,availability schedule,1,,0.0
224,schedule work,1,,0.0
225,work time,1,,0.0
206,makes difficult,1,,0.0
205,favoritism makes,1,,0.0
204,loyalty favoritism,1,,0.0
203,employee loyalty,1,,0.0
186,silverware lack,1,,0.0
187,lack glassware,1,,0.0
188,glassware low,1,,0.0
189,low stock,1,,0.0
190,stock items,1,,0.0
191,items need,1,,0.0
192,need motivate,1,,0.0
193,motivate peoplemanagement,1,,0.0
194,peoplemanagement always,1,,0.0
195,always top,1,,0.0
196,top things,1,,0.0
197,things great,1,,0.0
198,great health,1,,0.0
199,health benefits,1,,0.0
200,benefits part,1,,0.0
201,part time,1,,0.0
202,time employee,1,,0.0
226,time even,1,,0.0
230,not work,1,,0.0
273,hours left,1,,0.0
262,schedules asking,1,,0.0
254,idea schedule,1,,0.0
255,schedule following,1,,0.0
256,following week,1,,0.0
257,week posted,1,,0.0
258,posted message,1,,0.0
259,message manager,1,,0.0
260,manager hot,1,,0.0
261,hot schedules,1,,0.0
263,asking question,1,,0.0
231,work lunch,1,,0.0
264,question never,1,,0.0
265,never respondmanagement,1,,0.0
266,respondmanagement time,1,,0.0
267,time sucked,1,,0.0
268,sucked schedule,1,,0.0
269,schedule new,1,,0.0
270,new ppl,1,,0.0
271,ppl long,1,,0.0
253,training idea,1,,0.0
252,good training,1,,0.0
251,lack good,1,,0.0
250,screwed lack,1,,0.0
232,lunch shift,1,,0.0
233,shift get,1,,0.0
234,get horrible,1,,0.0
235,horrible hours,1,,0.0
236,hours 3,1,,0.0
237,3 5,1,,0.0
239,work dinner,1,,0.0
240,dinner get,1,,0.0
241,get 6,1,,0.0
242,6 hours,1,,0.0
243,hours instead,1,,0.0
244,instead making,1,,0.0
245,making equal,1,,0.0
246,equal people,1,,0.0
247,people morning,1,,0.0
248,morning get,1,,0.0
249,get screwed,1,,0.0
727,understaffed big,1,,0.0
729,rushes people,1,,0.0
1453,people lie,1,,0.0
1218,menus change,1,,0.0
1210,week avoid,1,,0.0
1211,avoid offer,1,,0.0
1212,offer insurancenational,1,,0.0
1213,insurancenational trainers,1,,0.0
1214,trainers new,1,,0.0
1215,new open,1,,0.0
1216,open contradict,1,,0.0
1217,contradict menus,1,,0.0
1219,change lot,1,,0.0
1207,20 hours,1,,0.0
1220,lot huge,1,,0.0
1221,menu difficult,1,,0.0
1222,difficult remember,1,,0.0
1223,remember big,1,,0.0
1224,big trays,1,,0.0
1225,trays drink,1,,0.0
1226,drink traysit,1,,0.0
1227,traysit stressful,1,,0.0
1208,hours per,1,,0.0
1206,less 20,1,,0.0
1185,restaurant atmosphere,1,,0.0
1195,pick extra,1,,0.0
1187,hours good,1,,0.0
1188,good work,1,,0.0
1189,balance enough,1,,0.0
1190,enough hours,1,,0.0
1191,hours scheduled,1,,0.0
1192,scheduled always,1,,0.0
1193,always denied,1,,0.0
1194,denied pick,1,,0.0
1196,extra shiftsexcessive,1,,0.0
1205,promotion less,1,,0.0
1197,shiftsexcessive hours,1,,0.0
1198,hours low,1,,0.0
1199,low payrate,1,,0.0
1200,payrate internalsterrible,1,,0.0
1201,internalsterrible scheduling,1,,0.0
1202,scheduling low,1,,0.0
1203,pay slow,1,,0.0
1204,slow promotion,1,,0.0
1228,stressful environment,1,,0.0
1229,environment sometimes,1,,0.0
1230,sometimes faced,1,,0.0
1263,lots changes,1,,0.0
1253,always seen,1,,0.0
1254,seen recognized,1,,0.0
1255,recognized management,1,,0.0
1256,management lazy,1,,0.0
1259,workers inconsistent,1,,0.0
1260,inconsistent accountability,1,,0.0
1261,accountability management,1,,0.0
1262,team lots,1,,0.0
1264,changes home,1,,0.0
1231,faced paced,1,,0.0
1265,home office,1,,0.0
1266,office constantly,1,,0.0
1267,constantly lack,1,,0.0
1268,lack standards,1,,0.0
1269,standards everyone,1,,0.0
1270,everyone equally,1,,0.0
1271,equally time,1,,0.0
1272,time breaks,1,,0.0
1252,might always,1,,0.0
1251,work might,1,,0.0
1250,move hard,1,,0.0
1249,moralehard move,1,,0.0
1232,paced work,1,,0.0
1233,life especially,1,,0.0
1234,especially know,1,,0.0
1235,know handle,1,,0.0
1236,handle unpleasant,1,,0.0
1237,unpleasant guests,1,,0.0
1238,guests definitely,1,,0.0
1239,definitely game,1,,0.0
1240,game terms,1,,0.0
1241,terms handling,1,,0.0
1242,handling guests,1,,0.0
1243,guests like,1,,0.0
1244,like saying,1,,0.0
1245,saying poor,1,,0.0
1246,poor management,1,,0.0
1247,management low,1,,0.0
1248,low moralehard,1,,0.0
1186,atmosphere long,1,,0.0
1184,typical restaurant,1,,0.0
1274,set time,1,,0.0
1127,high turnover,1,,0.0
1119,paylong hours,1,,0.0
1120,work income,1,,0.0
1121,income based,1,,0.0
1122,based tipshigh,1,,0.0
1123,tipshigh chance,1,,0.0
1124,chance unprofessional,1,,0.0
1125,unprofessional management,1,,0.0
1126,management high,1,,0.0
1128,turnover rates,1,,0.0
1117,possible minimalist,1,,0.0
1129,rates hard,1,,0.0
1131,move positions,1,,0.0
1132,positions sometimes,1,,0.0
1133,sometimes poor,1,,0.0
1134,poor tipsbeing,1,,0.0
1135,tipsbeing able,1,,0.0
1136,able get,1,,0.0
1137,get time,1,,0.0
1118,minimalist paylong,1,,0.0
1116,hard possible,1,,0.0
1183,cons typical,1,,0.0
1105,burned full,1,,0.0
1096,lot heavy,1,,0.0
1098,lifting general,1,,0.0
1099,general plates,1,,0.0
1100,plates food,1,,0.0
1101,food always,1,,0.0
1102,always hot,1,,0.0
1103,hot get,1,,0.0
1104,get burned,1,,0.0
1106,full hands,1,,0.0
1115,plates work,1,,0.0
1107,hands motto,1,,0.0
1108,motto consistently,1,,0.0
1109,consistently carrying,1,,0.0
1110,carrying walking,1,,0.0
1111,walking around,1,,0.0
1112,around whole,1,,0.0
1113,whole restaurant,1,,0.0
1114,restaurant heavy,1,,0.0
1138,time blacked,1,,0.0
1139,blacked days,1,,0.0
1140,days request,1,,0.0
1172,paced memorize,1,,0.0
1163,always angryno,1,,0.0
1164,angryno cons,1,,0.0
1165,cons unless,1,,0.0
1166,unless used,1,,0.0
1167,used working,1,,0.0
1168,working service,1,,0.0
1169,service industry,1,,0.0
1170,industry fast,1,,0.0
1173,memorize lot,1,,0.0
1141,request time,1,,0.0
1174,lot information,1,,0.0
1175,information must,1,,0.0
1176,must full,1,,0.0
1177,full knowledge,1,,0.0
1178,knowledge menu,1,,0.0
1180,corporate standards,1,,0.0
1181,standards big,1,,0.0
1182,big cons,1,,0.0
1162,everyone always,1,,0.0
1161,busy everyone,1,,0.0
1160,always busy,1,,0.0
1159,situation always,1,,0.0
1142,time never,1,,0.0
1143,never felt,1,,0.0
1144,felt like,1,,0.0
1145,like management,1,,0.0
1146,management really,1,,0.0
1147,really listenedrigorous,1,,0.0
1148,listenedrigorous training,1,,0.0
1149,training process,1,,0.0
1150,process management,1,,0.0
1151,management hardly,1,,0.0
1152,hardly enforces,1,,0.0
1153,enforces remember,1,,0.0
1154,remember customer,1,,0.0
1155,customer always,1,,0.0
1156,always right,1,,0.0
1157,right regardless,1,,0.0
1158,regardless situation,1,,0.0
1273,breaks set,1,,0.0
1275,time leave,1,,0.0
730,people leave,1,,0.0
1396,makes hard,1,,0.0
1387,constant movement,1,,0.0
1388,movement late,1,,0.0
1389,late shifts,1,,0.0
1390,shifts high,1,,0.0
1392,stress lack,1,,0.0
1393,lack benefits,1,,0.0
1394,benefits short,1,,0.0
1395,shifts makes,1,,0.0
1397,hard meet,1,,0.0
1385,breaks locations,1,,0.0
1398,meet hourly,1,,0.0
1399,hourly quota,1,,0.0
1400,quota per,1,,0.0
1401,week qualify,1,,0.0
1402,qualify nothing,1,,0.0
1403,nothing ordinary,1,,0.0
1404,ordinary large,1,,0.0
1405,large tables,1,,0.0
1386,locations constant,1,,0.0
1384,makes breaks,1,,0.0
1363,deal people,1,,0.0
1373,hours maybe,1,,0.0
1365,struggle stay,1,,0.0
1366,stay sane,1,,0.0
1367,sane tips,1,,0.0
1368,tips far,1,,0.0
1369,far expected,1,,0.0
1370,expected host,1,,0.0
1371,get lot,1,,0.0
1372,lot hours,1,,0.0
1374,maybe 25,1,,0.0
1383,management makes,1,,0.0
1375,25 week,1,,0.0
1376,week summer,1,,0.0
1377,summer job,1,,0.0
1378,job challenging,1,,0.0
1379,challenging time,1,,0.0
1380,time mainly,1,,0.0
1381,mainly week,1,,0.0
1382,week management,1,,0.0
1406,tables hectic,1,,0.0
1407,hectic demanding,1,,0.0
1408,demanding expected,1,,0.0
1442,employees work,1,,0.0
1434,automatic added,1,,0.0
1435,added gratuity,1,,0.0
1436,gratuity health,1,,0.0
1437,health insurance,1,,0.0
1438,insurance requirements,1,,0.0
1439,requirements met,1,,0.0
1440,met majority,1,,0.0
1441,majority employees,1,,0.0
1443,work managers,1,,0.0
1409,expected lot,1,,0.0
1444,managers exhaustion,1,,0.0
1445,exhaustion high,1,,0.0
1447,expectations tools,1,,0.0
1448,tools available,1,,0.0
1449,available meet,1,,0.0
1450,meet backbone,1,,0.0
1451,backbone guests,1,,0.0
1452,guests people,1,,0.0
1433,allow automatic,1,,0.0
1432,parties allow,1,,0.0
1430,serving large,1,,0.0
1429,protection serving,1,,0.0
1410,lot servers,1,,0.0
1411,servers reduce,1,,0.0
1412,reduce amount,1,,0.0
1413,amount hours,1,,0.0
1414,hours pick,1,,0.0
1415,pick bad,1,,0.0
1416,bad daysvery,1,,0.0
1417,daysvery corporate,1,,0.0
1418,corporate feels,1,,0.0
1420,like corporate,1,,0.0
1421,corporate leaders,1,,0.0
1,attitude shared,1,,0.0
1423,care restaurant,1,,0.0
1424,restaurant employees,1,,0.0
1425,employees white,1,,0.0
1427,shirts serving,1,,0.0
1428,serving protection,1,,0.0
1364,people struggle,1,,0.0
1362,also deal,1,,0.0
1276,leave expect,1,,0.0
1307,times nothing,1,,0.0
1299,night get,1,,0.0
1300,get little,1,,0.0
1301,little ridiculous,1,,0.0
1302,ridiculous weekend,1,,0.0
1303,weekend shifts,1,,0.0
1304,managers joked,1,,0.0
1305,joked unprofessionally,1,,0.0
1306,unprofessionally times,1,,0.0
1308,nothing super,1,,0.0
1297,tip end,1,,0.0
1309,super inappropriate,1,,0.0
1310,inappropriate mostly,1,,0.0
1311,mostly unnecessary,1,,0.0
1312,unnecessary menu,1,,0.0
1313,menu constantly,1,,0.0
1315,changing management,1,,0.0
1316,management difficult,1,,0.0
1317,difficult work,1,,0.0
1298,end night,1,,0.0
1296,need tip,1,,0.0
1361,times job,1,,0.0
1285,time took,1,,0.0
1277,expect called,1,,0.0
1278,called early,1,,0.0
1279,early daysdifficult,1,,0.0
1280,daysdifficult advance,1,,0.0
1281,advance often,1,,0.0
1282,often takes,1,,0.0
1283,takes long,1,,0.0
1284,long time,1,,0.0
1286,took 2,1,,0.0
1295,people need,1,,0.0
1287,2 1,1,,0.0
1288,1 2,1,,0.0
1289,years move,1,,0.0
1290,move host,1,,0.0
1291,host server,1,,0.0
1292,server corporatethe,1,,0.0
1293,corporatethe amount,1,,0.0
1294,amount people,1,,0.0
1318,work withmanagement,1,,0.0
1319,withmanagement arrogant,1,,0.0
1320,arrogant snobby,1,,0.0
1351,greatly company,1,,0.0
1343,girl servers,1,,0.0
1344,servers flirted,1,,0.0
1345,flirted follow,1,,0.0
1346,follow suit,1,,0.0
1347,suit schedule,1,,0.0
1348,schedule could,1,,0.0
1349,could suffer,1,,0.0
1350,suffer greatly,1,,0.0
1352,company expanding,1,,0.0
1321,snobby play,1,,0.0
1353,expanding going,1,,0.0
1354,going changes,1,,0.0
1355,changes making,1,,0.0
1356,making company,1,,0.0
1357,company care,1,,0.0
1358,care employees,1,,0.0
1359,employees challenging,1,,0.0
1360,challenging stressful,1,,0.0
1342,attention girl,1,,0.0
1341,paid attention,1,,0.0
1340,managers paid,1,,0.0
1339,politic managers,1,,0.0
1322,play favoritism,1,,0.0
1323,favoritism favortism,1,,0.0
1324,favortism working,1,,0.0
1325,working way,1,,0.0
1326,way lunch,1,,0.0
1327,lunch shifts,1,,0.0
1328,shifts food,1,,0.0
1329,shifts intimidatingnever,1,,0.0
1330,intimidatingnever prepared,1,,0.0
1331,prepared weekends,1,,0.0
1332,weekends short,1,,0.0
1333,short staff,1,,0.0
1334,staff enough,1,,0.0
1335,enough people,1,,0.0
1336,people weekendsvery,1,,0.0
1337,weekendsvery restaurant,1,,0.0
1338,restaurant politic,1,,0.0
1095,plates lot,1,,0.0
1093,training heavy,1,,0.0
1091,month poor,1,,0.0
858,150 items,1,,0.0
850,massive selection,1,,0.0
851,selection burgers,1,,0.0
852,burgers pizza,1,,0.0
853,pizza sandwiches,1,,0.0
854,sandwiches seafood,1,,0.0
855,seafood pasta,1,,0.0
856,pasta etc,1,,0.0
857,etc 150,1,,0.0
859,items 60,1,,0.0
848,items know,1,,0.0
860,60 beers,1,,0.0
861,beers 20,1,,0.0
862,20 wines,1,,0.0
863,wines hard,1,,0.0
864,hard first,1,,0.0
865,first hired,1,,0.0
866,hired put,1,,0.0
867,put floor,1,,0.0
849,know massive,1,,0.0
847,ton food,1,,0.0
825,done hard,1,,0.0
835,long nights,1,,0.0
827,learn beginning,1,,0.0
828,beginning things,1,,0.0
829,things picked,1,,0.0
830,picked onlate,1,,0.0
831,onlate closing,1,,0.0
832,closing time,1,,0.0
833,time means,1,,0.0
834,means long,1,,0.0
836,nights work,1,,0.0
846,hard ton,1,,0.0
838,training kitchen,1,,0.0
839,kitchen difficult,1,,0.0
840,difficult restaurants,1,,0.0
841,restaurants extra,1,,0.0
842,extra managers,1,,0.0
843,managers meaning,1,,0.0
844,meaning everybody,1,,0.0
845,everybody work,1,,0.0
868,floor succeed,1,,0.0
869,succeed food,1,,0.0
870,food knowledge,1,,0.0
902,moves lot,1,,0.0
894,stiffed multiple,1,,0.0
895,multiple 100,1,,0.0
896,100 tabs,1,,0.0
897,tabs simply,1,,0.0
898,simply guests,1,,0.0
899,guests cheap,1,,0.0
900,cheap management,1,,0.0
901,management moves,1,,0.0
903,lot hard,1,,0.0
871,knowledge takes,1,,0.0
905,close managers,1,,0.0
906,managers transferred,1,,0.0
907,transferred bj,1,,0.0
908,bj area,1,,0.0
909,area seems,1,,0.0
910,seems like,1,,0.0
911,like stay,1,,0.0
912,stay 6,1,,0.0
893,gotten stiffed,1,,0.0
892,gratuity gotten,1,,0.0
891,still gratuity,1,,0.0
890,server still,1,,0.0
872,takes couple,1,,0.0
873,couple months,1,,0.0
874,months really,1,,0.0
875,really get,1,,0.0
876,get stressful,1,,0.0
878,times busy,1,,0.0
879,busy gets,1,,0.0
880,gets one,1,,0.0
881,one time,1,,0.0
882,time 16,1,,0.0
883,16 tables,1,,0.0
884,tables thought,1,,0.0
885,thought losing,1,,0.0
886,losing mind,1,,0.0
887,mind nightmares,1,,0.0
888,nightmares stressed,1,,0.0
889,stressed server,1,,0.0
826,hard learn,1,,0.0
824,much training,1,,0.0
1090,grad month,1,,0.0
763,attract best,1,,0.0
754,verbalize appreciation,1,,0.0
755,appreciation expected,1,,0.0
756,expected work,1,,0.0
758,hard continue,1,,0.0
759,continue working,1,,0.0
760,working hard,1,,0.0
761,hard restaurant,1,,0.0
762,restaurant attract,1,,0.0
764,best crowd,1,,0.0
752,top dogs,1,,0.0
765,crowd therefore,1,,0.0
766,therefore money,1,,0.0
767,money inconsistent,1,,0.0
768,inconsistent 2,1,,0.0
770,years downfalls,1,,0.0
771,downfalls timemanagement,1,,0.0
772,timemanagement communicate,1,,0.0
773,communicate well,1,,0.0
753,dogs verbalize,1,,0.0
751,noticed top,1,,0.0
823,daynot much,1,,0.0
740,extremely stressful,1,,0.0
731,leave early,1,,0.0
732,early save,1,,0.0
733,save money,1,,0.0
734,money labor,1,,0.0
735,labor cost,1,,0.0
736,cost job,1,,0.0
738,also get,1,,0.0
739,get extremely,1,,0.0
741,stressful managers,1,,0.0
750,always noticed,1,,0.0
742,managers handle,1,,0.0
743,handle wellpoor,1,,0.0
744,wellpoor management,1,,0.0
745,management work,1,,0.0
746,work withhigh,1,,0.0
747,withhigh quality,1,,0.0
748,quality work,1,,0.0
749,work always,1,,0.0
774,well get,1,,0.0
775,get bad,1,,0.0
776,bad shifts,1,,0.0
812,hard hostess,1,,0.0
804,money card,1,,0.0
805,card can,1,,0.0
806,not sign,1,,0.0
807,sign direct,1,,0.0
808,direct deposit,1,,0.0
809,deposit right,1,,0.0
810,right away,1,,0.0
811,away hard,1,,0.0
813,hostess even,1,,0.0
777,shifts clock,1,,0.0
814,even considered,1,,0.0
815,considered move,1,,0.0
816,move waiter,1,,0.0
817,waiter waitress,1,,0.0
818,waitress really,1,,0.0
819,really stressful,1,,0.0
821,busy time,1,,0.0
822,time daynot,1,,0.0
803,given money,1,,0.0
802,paychecks given,1,,0.0
801,couple paychecks,1,,0.0
800,first couple,1,,0.0
778,clock long,1,,0.0
779,long make,1,,0.0
780,make much,1,,0.0
781,much money,1,,0.0
782,money sometimes,1,,0.0
785,employees low,1,,0.0
786,pay disorganized,1,,0.0
787,disorganized unprofessional,1,,0.0
788,unprofessional managers,1,,0.0
789,managers short,1,,0.0
791,shifts host,1,,0.0
794,tipped servers,1,,0.0
795,servers restaurants,1,,0.0
796,restaurants also,1,,0.0
797,also kind,1,,0.0
798,kind annoying,1,,0.0
799,annoying first,1,,0.0
913,6 months,1,,0.0
914,months less,1,,0.0
915,less time,1,,0.0
1036,employees hourly,1,,0.0
1028,circumstances lots,1,,0.0
1029,lots turnoverdevelopment,1,,0.0
1030,turnoverdevelopment non,1,,0.0
1031,non existent,1,,0.0
1032,existent work,1,,0.0
1033,balance strained,1,,0.0
1034,strained pay,1,,0.0
1035,pay employees,1,,0.0
1037,hourly competively,1,,0.0
1026,shoppers matter,1,,0.0
1038,competively vs,1,,0.0
1039,vs industry,1,,0.0
1040,industry benefits,1,,0.0
1041,benefits non,1,,0.0
1042,non management,1,,0.0
1043,management horridwhen,1,,0.0
1044,horridwhen slow,1,,0.0
1046,season get,1,,0.0
1027,matter circumstances,1,,0.0
1025,numbers secret,1,,0.0
916,time suuuuuuper,1,,0.0
1012,many hours,1,,0.0
1004,hours rude,1,,0.0
1005,rude customers,1,,0.0
1006,customers servers,1,,0.0
1007,servers managerslots,1,,0.0
1008,managerslots servers,1,,0.0
1009,servers hard,1,,0.0
1010,get shiftsnot,1,,0.0
1011,shiftsnot many,1,,0.0
1014,hard make,1,,0.0
1024,based numbers,1,,0.0
1015,make decent,1,,0.0
1016,decent amount,1,,0.0
1017,amount money,1,,0.0
1018,money huge,1,,0.0
1020,menu frustrating,1,,0.0
1021,frustrating try,1,,0.0
1022,try learntoo,1,,0.0
1023,learntoo based,1,,0.0
1047,close hours,1,,0.0
1048,hours recieved,1,,0.0
1049,recieved 2,1,,0.0
1080,almost 2,1,,0.0
1072,year jumped,1,,0.0
1073,jumped rate,1,,0.0
1074,rate new,1,,0.0
1075,hires however,1,,0.0
1076,however adjust,1,,0.0
1077,adjust pay,1,,0.0
1078,pay making,1,,0.0
1079,making almost,1,,0.0
1081,2 less,1,,0.0
1050,2 3,1,,0.0
1082,less hour,1,,0.0
1083,hour working,1,,0.0
1084,working two,1,,0.0
1085,two years,1,,0.0
1086,years new,1,,0.0
1087,new high,1,,0.0
1088,high school,1,,0.0
1089,school grad,1,,0.0
1071,pay year,1,,0.0
1070,rate pay,1,,0.0
1069,good rate,1,,0.0
1068,pretty good,1,,0.0
1051,3 shifts,1,,0.0
1052,shifts slow,1,,0.0
1053,season almost,1,,0.0
1054,almost three,1,,0.0
1055,three months,1,,0.0
1056,months straight,1,,0.0
1057,straight hard,1,,0.0
1058,hard live,1,,0.0
1059,live biggest,1,,0.0
1060,biggest disappointment,1,,0.0
1061,disappointment disparity,1,,0.0
1062,disparity pay,1,,0.0
1063,pay hired,1,,0.0
1064,hired location,1,,0.0
1065,location first,1,,0.0
1066,first opened,1,,0.0
1067,opened pretty,1,,0.0
1003,presenceslow hours,1,,0.0
1002,corporate presenceslow,1,,0.0
1001,strong corporate,1,,0.0
947,none great,1,,0.0
939,consistency scheduling,1,,0.0
940,scheduling told,1,,0.0
941,told would,1,,0.0
942,would work,1,,0.0
943,work school,1,,0.0
944,school schedule,1,,0.0
945,schedule lie,1,,0.0
946,lie none,1,,0.0
948,great place,1,,0.0
958,enough get,1,,0.0
949,place worknot,1,,0.0
950,worknot good,1,,0.0
951,good looking,1,,0.0
952,looking make,1,,0.0
953,make lot,1,,0.0
954,lot money,1,,0.0
955,money long,1,,0.0
956,long term,1,,0.0
938,absolutely consistency,1,,0.0
937,wage absolutely,1,,0.0
935,solid minimum,1,,0.0
934,raise solid,1,,0.0
917,suuuuuuper fast,1,,0.0
918,fast employee,1,,0.0
919,employee turnover,1,,0.0
920,turnover ratepoor,1,,0.0
921,ratepoor flexibility,1,,0.0
922,flexibility work,1,,0.0
923,work schedulei,1,,0.0
924,schedulei worked,1,,0.0
925,worked year,1,,0.0
926,year part,1,,0.0
927,part opening,1,,0.0
928,opening staff,1,,0.0
929,staff every,1,,0.0
930,every time,1,,0.0
931,time asked,1,,0.0
932,asked denied,1,,0.0
933,denied raise,1,,0.0
957,term enough,1,,0.0
959,get college,1,,0.0
1000,employees strong,1,,0.0
990,never enough,1,,0.0
982,get bust,1,,0.0
983,bust butt,1,,0.0
984,butt trying,1,,0.0
985,trying make,1,,0.0
986,make tip,1,,0.0
987,tip money,1,,0.0
988,money demanding,1,,0.0
989,demanding never,1,,0.0
991,enough employees,1,,0.0
960,college studentsome,1,,0.0
992,employees always,1,,0.0
993,always need,1,,0.0
994,need moremicromanagement,1,,0.0
995,moremicromanagement time,1,,0.0
996,time general,1,,0.0
997,general negative,1,,0.0
998,negative attitude,1,,0.0
999,attitude employees,1,,0.0
981,let get,1,,0.0
980,u let,1,,0.0
979,heart u,1,,0.0
978,body heart,1,,0.0
961,studentsome people,1,,0.0
962,people fun,1,,0.0
963,fun server,1,,0.0
964,server income,1,,0.0
965,income always,1,,0.0
